Unnamed: 0,Course Name,Course Acronym,Course Code,Prerequisites,Antirequisites,Semester,Sheet Link
,Statistical Machine Learning,SML,CSE342/CSE542/ECE356/ECE556,"CSE101,MTH201",PatternRecognition,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vRAIkE9r2VSaw9WyCTMVewpeV8g61BP8XJOCPfrl78W4J2uf64300TdGsWB-pkGXOtLika0ugpT5mCs/pubhtml?gid=1934525577&amp;single=true&amp;widget=true&amp;headers=false
,Computer Vision,CV,CSE344/CSE544/ECE344/ECE544,MTH100,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQamLmX3-67Wo2AYkCbkk8qNlJWF2N3r38gSKKzE1wph9fDV_GZt0Q3g2ocVyZMIVOK1AX_SaMvIXbu/pubhtml?gid=1534169512&amp;single=true&amp;widget=true&amp;headers=false
,Foundations of Computer Security,FCS,CSE345/CSE545,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vSBAioc_hROmClIqZknm6z68gigeZo68uVNUQl729LyvK8uuEOPWzAQ_oc9bWUnHC2H5tAFHIHpkBre/pubhtml?widget=true&amp;headers=false
,Network Security,NSC,CSE350/CSE550,,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRBGoS-JGpoeFr4Ak3ZyNxOYiPy4DsBLtUMqii5PCZWwq11AFsUTzGrWSogkFjfiYjF0rLgcs-JaSns/pubhtml?gid=1732051546&amp;single=true&amp;widget=true&amp;headers=false
,Networks and System Security II,NSS-II,CSE354/CSE554,"CSE231,CSE232",,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ_muvdyUy02o_acWHOK1909CCT5rFL1SPStVPQaRZDyhwzgHCgPpb0GeeBeVd5v0SeWZb80Y2nyc5I/pubhtml?gid=1865123011&amp;single=true&amp;widget=true&amp;headers=false
,Complexity Theory,CMPT,CSE421/CSE621,"CSE102,MTH201,CSE322,CSE121",,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQl-IqSm-a0es6-VI7_KOhBOaPVdFt5JWU2PuN6qY2O5Yl0GNaq5k-PQWk5zCR0CKghf_SY8_7TPUwY/pubhtml?gid=1501314011&amp;single=true&amp;widget=true&amp;headers=false
,Advanced Biometrics,BIOM,CSE441/CSE541,CSE343/CSE543/ECE563,,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTwO9JSCPuZRdr8b0H-6_-ZHJCh19Rx6PrUCFDUuHFfRFfFFBhFvfDNlJ8cmiyUwzOLrzMsssoRW_0K/pubhtml?gid=1540415147&amp;single=true&amp;widget=true&amp;headers=false
,Designing Human Centered Systems,DHCS,CSE501,,DES204,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vSFxgYddHX54xly_Y9lwluh3M81Q08vt7Xi4GxaPZeOy-vwXM1pcrIzujm029aS5nvc1aSKN0rOYKP-/pubhtml?gid=1449212177&amp;single=true&amp;widget=true&amp;headers=false
,Foundations of Parallel Programming,FPP,CSE502,"CSE101,CSE102,CSE201",,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vQdb5ODTpq4wv7C5iBIibXcVF_T3XturWMWbwvzc4nGIyoK4Y-QCiEe9iJ2snbDXA/pubhtml?widget=true&amp;headers=false
,Program Analysis,PA,CSE503,"CSE102,CSE201",,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vRZHblaJ8UxZaPj6RhovSeq8iU7St2wG8wjacVCXROvuiL-k5w0VVc8tRnbcTW9cLjHXwfojywhFuWj/pubhtml?gid=1536883694&amp;single=true&amp;widget=true&amp;headers=false
,Decision Procedures,DP,CSE504,"C/C++orJavaprogramming(equivalentsofDSAandAP),Abasiccourseindiscretemathematicsandlogic.",,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vSLwrpqDmD23pBKCS81nEY0eFQKo3Ipz-p80u58pK5Cv-WnNPXIKTRLjiwEaKzhGA/pubhtml?widget=true&amp;headers=false
,Data Mining,DMG,CSE506,"CSE202,CSE101,MTH100,MTH201",,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vS2U1p1FfDJSOdRBwGu08RgXgnSUNLNQYA5nLDLouVzTij39asVkA8CUr14E9hKf4GnKg4Uh-IxWaZe/pubhtml?gid=644524193&amp;single=true&amp;widget=true&amp;headers=false
,Database System Implementation,DBSI,CSE507,"CSE202,CSE102",,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vTsk1mks-v4qLPIegcxB34wqFrowY2Xvjkhi-XbnTqv-QcZDGiOjui8JnsBwOo7I3hVzq1Lc6dESh_C/pubhtml?gid=803465230&amp;single=true&amp;widget=true&amp;headers=false
,Information Retrieval,IR,CSE508,"CSE102,CSE201,CSE202",,Winter,https://docs.google.com/spreadsheets/d/e/2PACX-1vTRNf-2cjSe3S74dtuVCXqBByv-q7LUKhybOj5xJt6CskSBkjCu3Z7ENPczO6luqX9byAKPo9WSnsXs/pubhtml?gid=108171157&amp;single=true&amp;widget=true&amp;headers=false
,Computer Architecture,CA,CSE511/ECE511,,,Monsoon,https://docs.google.com/spreadsheets/d/1Z80l9byJyLYce04Bexm0X14c-kl63WjQ/pubhtml?widget=true&amp;headers=false
,Bayesian Machine Learning,BML,CSE515/ECE551,MTH201,,Monsoon,https://docs.google.com/spreadsheets/d/e/2PACX-1vQEfVJOMlDlUZMNs7OwEc29p0ljy2S3CxgNb1lbWidY48deLmKqCe8IEUOq7-Dqjw/pubhtml?widget=true&amp;headers=false
